iter	RMSE
0	14.66148765
1	13.97659191
2	13.18692446
3	12.62886988
4	12.21807805
5	11.7096174
6	11.30682918
7	10.87387606
8	10.49195227
9	10.07982048
10	9.719445548
11	9.401709703
12	9.129026102
13	8.767399445
14	8.550397738
15	8.338106365
16	8.156449262
17	8.009951255
18	7.831046753
19	7.642156163
20	7.47210778
21	7.339193173
22	7.258677744
23	7.111635041
24	7.015564768
25	6.910263551
26	6.842436247
27	6.686845288
28	6.623716039
29	6.531271546
30	6.462229416
31	6.396668856
32	6.332556838
33	6.265943053
34	6.178183638
35	6.11431776
36	6.02236522
37	5.959825203
38	5.912189966
39	5.869549463
40	5.831624442
41	5.757833985
42	5.723217804
43	5.68449213
44	5.667610122
45	5.613517653
46	5.575370991
47	5.566862292
48	5.510200582
49	5.462507603
50	5.439076137
51	5.415237689
52	5.40113686
53	5.356494436
54	5.316583623
55	5.296460159
56	5.270829993
57	5.232379384
58	5.202501056
59	5.165576343
60	5.146156964
61	5.116075311
62	5.095757842
63	5.076014265
64	5.058512629
65	5.008556137
66	4.986345915
67	4.973452327
68	4.964041311
69	4.953273184
70	4.940559668
71	4.933872165
72	4.928484771
73	4.912481171
74	4.881101879
75	4.856967905
76	4.841295169
77	4.836729875
78	4.819710654
79	4.810639092
80	4.807171723
81	4.792881458
82	4.781425972
83	4.761872156
84	4.753566484
85	4.737872477
86	4.712605398
87	4.704102538
88	4.698466148
89	4.688912242
90	4.668638331
91	4.660272876
92	4.644405747
93	4.620600012
94	4.600896556
95	4.595036283
96	4.580365944
97	4.568749208
98	4.538029111
99	4.517905761
100	4.495585502
101	4.486812538
102	4.477794274
103	4.472017521
104	4.457624045
105	4.451908624
106	4.435045798
107	4.430432873
108	4.426113933
109	4.422119726
110	4.398663182
111	4.382962985
112	4.363392195
113	4.347203901
114	4.336039092
115	4.325483816
116	4.316375669
117	4.312537857
118	4.297312858
119	4.293719169
120	4.271848063
121	4.265790443
122	4.256222016
123	4.252536027
124	4.239250032
125	4.23462772
126	4.23153984
127	4.220930111
128	4.207434009
129	4.191969703
130	4.187214066
131	4.170223318
132	4.156300271
133	4.145471974
134	4.140787193
135	4.137878727
136	4.130293044
137	4.124983464
138	4.122221415
139	4.109720581
140	4.098021883
141	4.087425766
142	4.076583705
143	4.067908887
144	4.053131612
145	4.048779625
146	4.03337499
147	4.026246839
148	4.012854901
149	4.002802094
150	3.988625951
151	3.98169541
152	3.968675183
153	3.955406784
154	3.9400404
155	3.936685407
156	3.932847308
157	3.929168279
158	3.925940674
159	3.914783397
160	3.898116581
161	3.888968759
162	3.875995097
163	3.873712395
164	3.867645245
165	3.858143954
166	3.845463008
167	3.842974645
168	3.831202415
169	3.821315834
170	3.815937008
171	3.807858639
172	3.805634217
173	3.803745079
174	3.801375309
175	3.792682943
176	3.782310778
177	3.774884279
178	3.769267541
179	3.7633648
180	3.755977529
181	3.749406289
182	3.735941751
183	3.732189645
184	3.725703967
185	3.723963009
186	3.712640127
187	3.708583343
188	3.699510982
189	3.694388878
190	3.690021555
191	3.687867486
192	3.683958559
193	3.67687648
194	3.666690031
195	3.66033377
196	3.648970346
197	3.647392189
198	3.637299173
199	3.633276604
