iter	Passed	Remaining
0	166	166398
1	168	83895
2	169	56490
3	171	42689
4	173	34448
5	174	28923
6	176	24992
7	177	22030
8	179	19716
9	180	17879
10	182	16421
11	184	15173
12	186	14125
13	187	13232
14	189	12450
15	191	11750
16	192	11129
17	194	10584
18	195	10101
19	197	9658
20	198	9258
21	200	8899
22	200	8532
23	201	8212
24	202	7913
25	203	7635
26	205	7390
27	205	7147
28	207	6935
29	208	6747
30	209	6547
31	210	6373
32	211	6201
33	212	6042
34	214	5908
35	215	5780
36	216	5636
37	217	5515
38	219	5401
39	219	5277
40	220	5168
41	222	5068
42	222	4958
43	223	4859
44	224	4774
45	225	4675
46	226	4589
47	227	4506
48	228	4441
49	230	4373
50	231	4306
51	232	4230
52	233	4165
53	234	4102
54	235	4041
55	236	3992
56	238	3947
57	240	3901
58	241	3853
59	243	3812
60	244	3764
61	245	3716
62	246	3668
63	247	3621
64	248	3571
65	249	3526
66	250	3484
67	251	3440
68	251	3398
69	252	3357
70	253	3318
71	254	3279
72	255	3241
73	256	3203
74	256	3168
75	257	3134
76	258	3099
77	259	3064
78	260	3031
79	260	2996
80	261	2962
81	261	2930
82	262	2899
83	263	2870
84	263	2841
85	264	2812
86	265	2783
87	265	2755
88	266	2729
89	267	2703
90	267	2676
91	268	2650
92	269	2624
93	269	2599
94	270	2574
95	270	2550
96	271	2524
97	271	2501
98	272	2478
99	272	2456
100	273	2432
101	273	2410
102	274	2388
103	274	2367
104	275	2347
105	275	2327
106	276	2307
107	277	2288
108	277	2269
109	278	2250
110	278	2231
111	279	2213
112	279	2193
113	279	2175
114	280	2157
115	280	2140
116	281	2122
117	281	2105
118	282	2089
119	282	2073
120	283	2056
121	283	2039
122	283	2023
123	284	2008
124	284	1993
125	285	1978
126	285	1963
127	286	1948
128	286	1935
129	287	1923
130	287	1909
131	288	1896
132	288	1883
133	289	1870
134	289	1857
135	290	1844
136	290	1832
137	291	1821
138	291	1808
139	292	1796
140	293	1785
141	293	1773
142	294	1762
143	294	1752
144	295	1741
145	295	1730
146	296	1720
147	297	1709
148	297	1699
149	298	1689
150	298	1679
151	299	1669
152	299	1659
153	300	1649
154	300	1640
155	301	1630
156	302	1621
157	302	1612
158	303	1603
159	303	1594
160	304	1585
161	304	1576
162	305	1568
163	305	1559
164	306	1550
165	306	1541
166	307	1531
167	307	1523
168	308	1515
169	308	1506
170	309	1498
171	309	1490
172	310	1482
173	310	1474
174	311	1466
175	311	1458
176	312	1450
177	312	1443
178	312	1435
179	313	1428
180	313	1420
181	314	1413
182	314	1406
183	315	1398
184	315	1391
185	316	1384
186	317	1378
187	317	1372
188	318	1365
189	318	1358
190	319	1351
191	319	1345
192	320	1339
193	320	1332
194	321	1326
195	321	1319
196	322	1313
197	322	1306
198	323	1300
199	323	1294
200	323	1287
201	324	1281
202	324	1275
203	325	1269
204	325	1263
205	326	1257
206	326	1251
207	327	1245
208	327	1240
209	328	1234
210	328	1229
211	329	1223
212	329	1217
213	330	1212
214	330	1207
215	331	1202
216	331	1197
217	332	1192
218	332	1187
219	333	1181
220	333	1177
221	334	1172
222	335	1167
223	335	1162
224	336	1157
225	336	1152
226	337	1147
227	337	1143
228	338	1138
229	338	1133
230	339	1128
231	339	1124
232	340	1119
233	340	1114
234	341	1110
